,183
0,0.02478682316145686
1,0.028742693305981462
2,0.0
3,0.06038963297911987
4,0.12077705236889918
5,0.17504679058372397
6,0.32207940054625717
7,0.5048653450755801
8,0.4571222582905582
9,0.39809726924130673
10,0.7841851127504639
11,0.5868532436659767
12,0.6723583466520966
13,0.724149612444153
14,0.6198504508931805
15,0.4213456532283404
16,1.0
17,0.5868908064309629
